comment_id,comment_text,gold,zero_shot,fine_tuned,zero_shot_output,fine_tuned_output
source1_26373964_94,I am a conservative but have to say Harper is doing a last ditch effort to stop the slide in the polls for his party. Coming out with a BS surplus by clawing back funds from gov departments and calling it a surplus to gain image is deception at its best. A trick used by the insurance industry using satellite offices to send money back and forth in order to justify raising rates. Now for the first time we have the Feds in Canada doing it. SAD and dirty that is.,yes,no,yes,"LABEL: no
REASON: The comment is not constructive because it is an insult, uses sarcasm, and is off-topic.",LABEL: yes
source1_29425530_45_0,Not buying that story... sorry,no,no,no,"LABEL: no
REASON: The comment is an insult and lacks constructive feedback.",LABEL: no
source1_29265806_64,We need to concentrate more money and resources on stopping the war in Syria so that we eventually stop the tsunami of refugees. The only reason peace seems to be not an option is the usual suspects of the 1% and the military-industrial complex profiting from war and war refugees.,yes,yes,yes,"LABEL: yes
REASON: The comment provides a specific point about the need for resources to stop the war in Syria and offers a solution by suggesting a shift in focus and priorities.",LABEL: yes
source1_29425530_11_0_0,"What is this bigger ""breeding ground"" that you speak of? Of all the terrorist acts committed in the last ten years, how many were perpetrated by Belgian Muslims?",no,no,no,"LABEL: no
REASON: The comment is a one-line dismissal and lacks specific evidence or a constructive point.",LABEL: no
source1_32803341_31,Hilary did not lose because she was a woman. She lost because the US had their version of an Arab Spring. A restless electorate wanted an outsider. It is unfortunate that Trump was the one to tap into that movement. Bernie nearly defeated Hilary by calling for a revolution. Meanwhile Hilary was the typical establishment candidate who had become wealthy through pay to play. Hilary and her spokespersons certainly played the woman card often enough but Hilary's enthusiastic response to Madeline Allbright's declaration of a special place in hell for women who would not vote for women was a mistake. That backfired with younger women who see themselves as able to compete on merit alone. In the end Hilary probably got as many votes because she was a woman as she lost for the same reason.,yes,yes,yes,"LABEL: yes
REASON: The comment provides specific points, evidence (mention of Madeline Allbright), personal experience (reference to the ""woman card""), and a solution (calling for a revolution) while engaging with the article's argument.",LABEL: yes
source1_32803341_55,"If it's wrong to vote AGAINST someone based on their gender, Then surely it is also wrong to vote FOR someone based on their gender. Yet there were many people advocating openly for people to to do just that. I wonder how many votes Clinton got just because she was a woman.",yes,no,yes,"LABEL: no
REASON: The comment is not constructive because it is a one-line dismissal and contains a sarcastic remark without substantive argument.",LABEL: yes
source1_26373964_27,"These Cons – announce money to be spent several times by the Economic Action promotion machine – the same money btw, to the tune of ¾ of a billion in a crass vote getting program, then by stealth tell departments to not spend it all, then announce that we have a surplus in a crass vote getting program. These folks don’t govern – they politic 24-7, wait, to which they have a media program with that very name … and the cost? Throw them to the curb.",yes,yes,yes,"LABEL: yes
REASON: The comment provides specific criticisms of the government's spending decisions, includes evidence (the figure of ¾ of a billion), and engages with the article's argument by pointing out the lack of governance and media manipulation.",LABEL: yes
source1_29425530_33,"'Honey, do you remember where we put that million immigrants?'British public must be told truth about immigration figures ahead of EU referendum, says watchdog - The Telegraph",no,no,no,"LABEL: no
REASON: The comment is not constructive as it is an insult and does not provide specific evidence or a solution.",LABEL: no
source1_29265806_52,'''Rouba Al-Fattal is a part-time professor of Middle East and Arab politics at the University of Ottawa.'''It seems that most of the people writing dogmatic and bizarre opinion pieces in the Globe and Mail are professors - and thus teachers!!! Look for Canadian society to make less and less sense as students are taught the dogma.,yes,no,yes,"LABEL: no
REASON: The comment is not constructive because it is an insult and a one-line dismissal without providing evidence or a specific point.",LABEL: yes
source1_25343745_37_0,"and the uber drivers are driving without insurance,,,",no,no,no,"LABEL: no
REASON: The comment is not constructive because it is an insult and lacks specific evidence or a valid point.",LABEL: no
source1_26464579_26,"“When there is an empty space, people look to fill it ...”The modus operandi of the Catholic Church in a nutshell. If you don't fill your own soul, they have an app for that!",no,no,no,"LABEL: no
REASON: The comment is not constructive as it is an insult and uses sarcasm with no substance.",LABEL: no
source1_29265806_27,"The author of this column seems appears to have gotten almost all off her facts wrong, wrong, wrong.",no,no,no,"LABEL: no
REASON: The comment is an unsupported assertion and contains repetition, lacking specific evidence or a constructive point.",LABEL: no
source1_26373964_57,"Harper and his govt are liars and cheaters, they have been since they came to power, we are not gullible enough to believe them on this surprise surplus announcement. The Conservatives have been a detriment to Canada, bad for our reputation worldwide, uncaring, self-absorbed, we must vote them out of office. How intelligent are those that still think Harper could be anything more then he's been over the last two terms, petty, vindictive, tyrannical, and terrible at managing our country.",yes,no,yes,"LABEL: no
REASON: The comment is not constructive as it is an insult, a one-line dismissal, and lacks specific evidence or a solution.",LABEL: yes
source1_23462276_0_3_0,"No, no line in the sand; but one person's 'necessary' is another person's 'don't need it'. I don't necessarily want to 'make do with less'; but I have what I need to do what I want. I have a camera (digital) to take pictures with; a watch to tell me what time it is; a Blackberry that lets me send and receive texts and phone calls. If I want to check e-mail, Facebook, browse the web, Google something, I have a computer. When I'm away from it, I'm at work, or doing something where a computer isn't necessary (like cooking, gardening, reading, watching a DVD). If I have a burning need to find something out Right This Very Second - well, it can usually wait until I'm near a computer. And I'm fine with all that, just as I'm fine with people who absolutely, positively can't live without something that does everything except open the garage door (and I'm sure there's an app for that). So don't judge people who don't have to have the latest iWhatever as hopeless fuddy-duddy stick-in-the-muds who'd go back to wind-up gramophones if they had a chance (that said, I do have a wind-up gramophone, which my son - born in 1997, and as wired as they come - thinks is wonderful). I edit a weekly newspaper, and use Photoshop and InDesign to put the whole thing together; a long way from the physical lay-out and paste-up I learned with, and I wouldn't go back to those days for all the hot wax in the world.",yes,yes,yes,"LABEL: yes
REASON: The comment provides specific examples of personal experiences, offers a solution (using a computer for editing and design), and engages with the article's argument about technology and necessity.",LABEL: yes
source1_23462276_28_1_0,"We stocked up on incandescent bulbs, so we have a lifetime left of the nice warm light they emit.",yes,no,no,"LABEL: no
REASON: The comment is not constructive because it is a sarcastic and unsupported assertion about incandescent bulbs.",LABEL: no
source1_21094039_12,The NDP want kids in a unionized environment from birth to the end of university. And then ideally as voters they will support the NDP's socialist agenda. What could go wrong?,no,no,no,"LABEL: no
REASON: The comment is not constructive because it is a sarcastic and unsupported assertion that lacks specific evidence or a meaningful contribution to the conversation.",LABEL: no
source1_29425530_12_0,Are Christians flocking to war zones?,no,no,no,"LABEL: no
REASON: The comment is an insult and does not add anything to the conversation.",LABEL: no
source1_32746841_56,stop lecturing us,no,no,no,"LABEL: no
REASON: The comment is an insult and lacks constructive feedback.",LABEL: no
source1_32013536_102,"The tax is xenophobic. It plays on irrational fear and hatred of foreigners. The BC government is playing on those fears and hatreds to flag up support. The result of the Government wrecking the free market with a xenophobic tax will be a strangulation of Vancouver's housing market, a drop in homebuilding and a recession.",yes,yes,yes,"LABEL: yes
REASON: The comment provides a specific argument, evidence (the mention of xenophobic tax and its effects on the housing market), and a clear analysis of the government's policy's potential consequences.",LABEL: yes
source1_26373964_116,Looks like the Trolls start to work at 8:30AM.,no,no,no,"LABEL: no
REASON: The comment is not constructive as it is an insult and lacks specific points or evidence.",LABEL: no
source1_23462276_21,"I great intelligent and funny read by the author once again, but I think she exceeded her own high standards this time. Loved her writing... Unfortunately, it seems to get lost on most posters who only see this as a great chance to pile on Apple as if Apple is the only one who does this. She could have written about many companies and achieved the same goal. It´s not about Apple people - it´s about us. Blinded by the hate I suppose...",no,no,yes,"LABEL: no
REASON: The comment is not constructive as it is an insult, contains sarcasm, and is off-topic.",LABEL: yes
source1_32746841_100,This is a huge opportunity to correct the damage Brian Mulroney did to Canada.,no,no,no,"LABEL: no
REASON: The comment is an insult and does not add constructive feedback.",LABEL: no
source1_32803341_81,"Nonsensical, extreme feminist blather.'[W]hat women – particularly young girls who stayed up to watch the historic moment that never was – are going to take from this' is that few people are willing to support a conniving, two-faced career politician; and I do mean 'politician' in the worst sense of the word. That's what Ms. Clinton's run told us.Oh, and by the way, women ARE engaged in all facets of the professional world. They are Engineers, Lawyers, Doctors, Politicians, Scientists, Business Executives, held in equal esteem to their male colleagues. The women who do well in their chosen profession don't whine about how hard it was to achieve their station because of their being women. They. Just. Do it.",yes,yes,yes,"LABEL: yes
REASON: The comment provides specific examples of women in various professions, offers a personal critique of the politician, and engages with the article's argument by addressing the claim of gender inequality.",LABEL: yes
source1_25343745_12_0,"Everyone wants that but where is the expense part? The UBER organization covers all of that while your standard taxi does not. This is simply a level of care, like having a clean car!",yes,no,no,"LABEL: no
REASON: The comment is not constructive because it is an insult and lacks specific evidence or a personal experience.",LABEL: no
source1_32746841_106,"'He’s hardly the choice of the establishment, media, cultural, business or political.' You are neglecting the fact that Joe and Jill Average are actually the backbone of a country. Perhaps the elite, the intelligentsia and the media should learn to listen. Perhaps they should take note of who pays for their proposed leftist policies that are inspired by their perception of what is correct. Better a Trump than a revolution.",yes,no,yes,"LABEL: no
REASON: The comment is not constructive because it contains sarcasm, an unsupported assertion, and is off-topic.",LABEL: yes
source1_32746841_82,Have you ever seen such hysterical nut cases as the liberal media. Why would anyone vote for their candidate. Disingenuous hysterical liberals.,no,no,no,"LABEL: no
REASON: The comment is not constructive because it is an insult, uses strong negative language, and does not provide evidence or a specific point.",LABEL: no
source1_25343745_32_0,"LOL,,,, there only here because they dont play by any rules,,,, The drivers for Uber have no insurance,,,,, none,,,, why don't people understand that ,,,",yes,no,no,"LABEL: no
REASON: The comment is an insult and lacks constructive feedback.",LABEL: no
source1_20144737_14,"If people on reserves are afflicted with a greater % of social problems than people off of reserves then wouldn't you want to at least contemplate getting rid of reserves? Personally, I think many reserves are prime examples of what happens when you have 100% dependency. It's a tough cycle to break",no,yes,yes,"LABEL: yes
REASON: The comment provides a specific argument about social problems on reserves and suggests a solution, which qualifies it as constructive.",LABEL: yes
source1_29425530_20_0,So was Jihadi John but that doesn't fit the leftwing apologist narrative of blaming the West.,no,no,no,"LABEL: no
REASON: The comment is not constructive because it is an insult and a one-line dismissal without providing evidence or a specific point.",LABEL: no
source1_25343745_36_0,"very nice,,, -and true",no,no,no,"LABEL: no
REASON: The comment is an insult and lacks constructive feedback.",LABEL: no
source1_25343745_30_1,Like those 'safe' cabs I ride in regularly where the cabbie is talking on a cellphone while trying to pay attention to dispatch. Riiighhht.....,no,no,no,"LABEL: no
REASON: The comment is not constructive as it is a sarcastic and exaggerated expression without any specific point or evidence.",LABEL: no
source1_29265806_28,"Would the professor be comfortable walking outside after dark once we bring million of them here, like Europe did?",no,no,no,"LABEL: no
REASON: The comment is not constructive because it is a rhetorical question without providing evidence, personal experience, a solution, or engagement with the article's argument.",LABEL: no
source1_25343745_6,"I am at Yonge and 7, a 20 minute drive along the 407 to the Airport costs me 80 bucks. Gas is cheaper these days, 407 is around 5 bucks, they are making way too much money. The cartel has had it good for a long time, we need competition and we need it now.",yes,no,yes,"LABEL: no
REASON: The comment is not constructive because it is a personal opinion that lacks specific evidence or a solution and is critical of the gas price and the cartel without engaging with the article's argument.",LABEL: yes
source1_25343745_0_1,Yes to Uber. No to taxi cartels.'-------------------No to Uber Corporation?,no,no,no,"LABEL: no
REASON: The comment is not constructive as it is a sarcastic and unsupported assertion with no specific point or evidence.",LABEL: no
source1_25343745_15,"Taxi Drivers are losing business because of UBER. Well join the club talk to Kodak or Black's photography, Blockbusters, Blackberry, have realized that advance in technology has had an effect on their business. That is the new economy. So sorry for taxi deivers and staff at Blacks but that is the way things roll.",no,no,yes,"LABEL: no
REASON: The comment is not constructive because it is a sarcastic and off-topic rant that does not provide specific points, evidence, or a solution.",LABEL: yes
source1_32803341_20,Let's get real..... women in America voted for who ever they want to and even with the chance to elect a first female President they didn't. They didn't trust her and Americans voted for change and voted against the elitist politicians and all that goes with it. Trump will adjust and the world will go on...... he may do as well as Regan or better. Or ...... he'll be gone in Four years and the next great hope will show up. The American vote was not about an anti women agenda.........relax and due some deep breathing,yes,no,yes,"LABEL: no
REASON: The comment is not constructive as it is a rant with no specific points, unsupported assertions, and lacks engagement with the article's argument.",LABEL: yes
source1_32746841_90,"Other than the socons, ALL GOOD NEWS IMO!",no,no,no,"LABEL: no
REASON: The comment is an insult and lacks constructive feedback.",LABEL: no
source1_29425530_6,Current plans to change Canada's electoral system from first past the post to proportional representation will create political gridlock here as it has in Belgium. Really bad idea.,no,no,no,"LABEL: no
REASON: The comment is an unsupported assertion and an insult, not a constructive contribution.",LABEL: no
source1_26373964_141,"'...whether the federal budget shows a small deficit or a small surplus is almost totally irrelevant.'Lol, nice. So all the liberal fear mongering and hate directed at Harper for a deficit, now doesn't really matter when a surplus is on the books. Who needs a cat and a laser pointer when you have liberal 'logic' to entertain!",no,no,yes,"LABEL: no
REASON: The comment is not constructive because it is an insult and contains sarcasm with no substance.",LABEL: yes
source1_33010454_70,Just another of hyphenated urban elite spouting its usual socialist drivel.,no,no,no,"LABEL: no
REASON: The comment is not constructive because it is an insult and does not add anything to the conversation.",LABEL: no
source1_32803341_48,"Golda Meir, Margaret Thatcher and Indira Gandhi shattered the glass ceiling decades ago. If the US is incapable of following suit, that's their problem. They don't have real public health care either.",no,no,no,"LABEL: no
REASON: The comment is not constructive as it makes a generalization about historical figures and ignores the specific context of the US healthcare system.",LABEL: no
source1_25343745_0_3_0,UBER customers just want a CHEAPER ride (no insurance if accident) they don't care that taxi drivers pay thousands for a licence and UBER pays nothing yet they claim to love Social Justice,yes,no,no,"LABEL: no
REASON: The comment is not constructive as it is a one-line dismissal and lacks specific points or evidence.",LABEL: no
source1_32013536_5,"No, it's not a head tax. It only feels that way because Chinese are more active in these sales. The tax can be avoided by not getting involved in shady real estate transactions.",yes,no,no,"LABEL: no
REASON: The comment is not constructive because it is an unsupported assertion and contains a personal opinion that lacks evidence or factual basis.",LABEL: no
source1_29425530_40,Beljium should be divided into two countries,no,no,no,"LABEL: no
REASON: The comment is an unsupported assertion and an insult, not a constructive contribution to the conversation.",LABEL: no
source1_29425530_15_1,the author is not saying what you say she is saying,no,no,no,"LABEL: no
REASON: The comment is an unsupported assertion and lacks specific evidence or engagement with the article's argument.",LABEL: no
source1_32803341_109,Really unfortunate that my comment was moderated. Perhaps this op-ed should be labelled as Advertorial.,no,no,no,"LABEL: no
REASON: The comment is an insult and a one-line dismissal, lacking constructive feedback.",LABEL: no
source1_31284492_9_0,Of course even Canadian fought two British world wars. Only low life doesn't understand that.,no,no,no,"LABEL: no
REASON: The comment is an insult and lacks constructive feedback.",LABEL: no
source1_29425530_41_1,"Many studies have shown that the US & Canada are attacked less because we integrate much better then in EuropeIn Europe they're like seperate communities. Here everyone lives together and (before Trump), immigrants are made to feel welcome.",yes,no,no,"LABEL: no
REASON: The comment is not constructive because it makes a generalization about European communities and uses the phrase ""here"" which is subjective and lacks specific evidence or support.",LABEL: no
source1_29265806_3,Canada is as much to blame for giving false hope and promises? Really? Are any of the ones that we've taken in worse off here than where they were?,yes,no,no,"LABEL: no
REASON: The comment is a one-line dismissal and lacks specific evidence or a constructive argument.",LABEL: no
source1_32803341_32,Tell your daughters Hillary Clinton lost the election.,no,no,no,"LABEL: no
REASON: The comment is an unsupported assertion and an insult, not a constructive contribution to the conversation.",LABEL: no
source1_32746841_38,A lot of specious twaddle there about their policy prognostications. Probably as reliable as the numerous times they said Clinton would win.,no,no,no,"LABEL: no
REASON: The comment is not constructive because it is an insult and a one-line dismissal without providing evidence or a specific point.",LABEL: no
source1_29425530_7_0_3,"Paul The first world relates to per capita income, and now how that income was achieved. Take away the loot the the UK, France, Belgium, Spain, Portugal, etc stole from Asia, Africa and Latin America, and they would all be third world countries too. Don't believe me? Look up the kohinoor diamond - where it was, and where it is today.",yes,no,yes,"LABEL: no
REASON: The comment is not constructive because it is an unsupported assertion and contains a factual error (the Kohinoor diamond is actually in the British Museum, not in India).",LABEL: yes
source1_20144737_7,"A good start to stop Violence against women and children is to address the alcohol and drug addiction on the remote reserves, which drive children to the cities.",yes,yes,no,"LABEL: yes
REASON: The comment identifies a specific issue (alcohol and drug addiction on remote reserves) and suggests a solution (addressing it to stop violence against women and children), which is constructive.",LABEL: no
source1_32803341_25,"Could you also please tell your daughter that corruption and lying are not good qualities for any leader, man or woman? Many women around the world have leadership positions. Playing the gender card here is a cop out and playing the victim is not something we want to teach our daughters.",yes,no,no,"LABEL: no
REASON: The comment is not constructive because it is an insult and a one-line dismissal, and it is off-topic.",LABEL: no
source1_32746841_121,"It will be a curious time in 4 years from now: voters in the Midwest who elected Trump will be forced to accept that the jobs did not come back, the US manufacturing sector cannot be revived on populist rehtoric, that the economy will have shrunk badly since 2016, inflation will be at decade-high levels, interest rates will be rising, and the only real choice to stop the nightmare is to elect a far-left democratic candidate who makes Clinton look like a Republican. But i do wish them all the best with their choice.",yes,no,yes,"LABEL: no
REASON: The comment is not constructive as it is a personal opinion with no specific point, evidence, or solution, and it is overly negative and dismissive.",LABEL: yes
source1_31284492_15,"I have a lapdog, he barks every time the big dog next door does. so annoying.",no,no,no,"LABEL: no
REASON: The comment is an insult and a one-line dismissal, not a constructive contribution to the conversation.",LABEL: no
source1_32803341_88,She lost because she barely campaigned and thought she was coasting to a foregone coronation. She wouldn't campaign for a week at a stretch. Meanwhile Trump was out there killing himself- at the end doing five rallies a day.,yes,no,no,"LABEL: no
REASON: The comment is not constructive as it contains a one-line dismissal and uses sarcasm with no substance.",LABEL: no
source1_32746841_57,"Whatever happens, the media industry will not benefit. Go take a long rest and say goodnight.",no,no,no,"LABEL: no
REASON: The comment is an insult and lacks constructive feedback.",LABEL: no
source1_25343745_31_0_1,"Afer14: And do you think that the licence holders treat their drivers as one would expect in a ""fair and civilized society""?",no,no,no,"LABEL: no
REASON: The comment is a personal attack and does not provide constructive feedback.",LABEL: no
source1_32746841_79,"'He’s hardly the choice of the establishment, media, cultural, business or political.' Here is the big call out. None of those get to pick the leader in a democracy, the leader be it President, Prime Minister or Premier is picked by the people. I think the big lesson here is for media to be more diligent rather than partisan. If the MSM want's to push an agenda then rather than telling the people who to vote for try being less biased and hold governments to account even your precious PM Justin.",yes,yes,yes,"LABEL: yes
REASON: The comment provides a specific point about media bias and offers a solution by suggesting the media should be more diligent and hold governments accountable.",LABEL: yes
source1_32013536_71,"Hardly, the money was never taxed, god knows where it came from. Show us a paper trail as I was required when I was non resident and all will be good. But everybody knows this money is not legal tender in Canada and tax must be paid. I would have CRA investigate every home purchase in canada, add cars as well instead of bothering people like me who have lived and worked for canadaian compamies all my life in Canada. It would not cost the taxpayers a nickel as there are lots of tax people on the payroll now to make this happen.",yes,no,yes,"LABEL: no
REASON: The comment is not constructive as it contains personal attacks, unsupported assertions, and is a rant rather than a specific point.",LABEL: yes
source1_21094039_25,"In Ontario the criminal Liberal gov't of McGuinty and Wynne introduced All day kindergarten at enormous cost to taxpayers. The results are pretty weak and it does nothing for children as they progress through the inefficient, extremely expensive and union run education system. So we're essentially paying billions for a daycare service already in Ontario. If we really wanted to expand the benefits for working parents, why not extend school hours to 5pm and run schools all year round as many other countries do.? Novel idea having teachers work a full year for a full year's pay, No?",yes,yes,yes,"LABEL: yes
REASON: The comment provides specific criticism of the Ontario government's policies, offers a solution (extending school hours), and engages with the article's argument about the education system.",LABEL: yes
source1_32746841_83,"hey Globe and mail could you for once try telling your journalists to feel free to express their own narrative and beliefs without the spin. You know I guess after 40 yrs of oral puke and spin ,try something that's sweeping the nation , get in at the ground Level. Its called the truth please do try it everybody is doing it",yes,no,yes,"LABEL: no
REASON: The comment is not constructive because it is an insult and a one-line dismissal, lacking specific points, evidence, or engagement with the article's argument.",LABEL: yes
source1_26373964_12,"Good analysis! The Harper Government is playing the electorate for fools, and the opposition parties fail to address the coming economic Tsunami of aging boomers. Canadians desperately need a federal government that sits down and works with the provinces. The Harper Government has proven incapable. Time for a change!",yes,yes,yes,"LABEL: yes
REASON: The comment provides a specific critique of the Harper Government's approach, offers a solution (a federal government that works with provinces), and engages with the article's argument about the economic impact of aging boomers.",LABEL: yes
source1_32803341_36,"I really think it ill-serves the body politic, to continue to make this election into a referendum on something it wasn't, namely the competence of women. As other posters have noted, there have been many many women leaders throughout history. This is not a new thing. Hillary Clinton was as hawkish as any man, when it came to Iraq, as pusillaminous as anyone else, when it came to standing up to Wall Street. She could not successfully divorce herself from her very tainted history to represent the change that the clearly disenfranchised, or at least self-perceived disenfranchised, so desperately wanted.",yes,no,yes,"LABEL: no
REASON: The comment is an unsupported assertion and contains personal attacks, not constructive feedback.",LABEL: yes
source1_32746841_13,"I think the Globe and Mail should concentrate on what Trump's victory means for the Globe and Mail. I have never seen a paper give such poor coverage to a political candidate. For the last year, it has been nothing but ridicule, dismissiveness, and a foregone conclusion that he would be defeated. In doing so, this paper has misled the reader and we now are in a position of knowing nothing about the new President. This paper failed in its fundamental responsibility of reporting the truth. It has been a year of propaganda from nearly every reporter covering the American election as well as from the editors. As a subscriber of this epaper, I feel a certain sense of betrayal of the G&M's overlooking the truth. Factual reporting sacrificed to make a political point. Shame on this paper and those who work for it.",yes,yes,yes,"LABEL: yes
REASON: The comment provides specific criticism of the Globe and Mail's coverage, includes evidence of their poor reporting, and engages with the article's argument by pointing out their failure to report the truth.",LABEL: yes
source1_31284492_11_0,"The U.S. refused to recognize Canada's internal waterway the Northwest Passage sovereignty. It challenged Canada claim by sailing war ships and subs through the Passage without notifying Canada. Just like any waters in the world it claims dominance. So be very careful about the Yanks. And not be stupid supporting its hegemony as the writer of this article clearly do.Canada and U.S. are allies in mutual defense. That's quite OK. But mutual defense DOES NOT mean we get dragged into it global wars of power and dominance. This is called the Pierre Trudeau Doctrine. The basis for Canada refusal to join in America war of ideology and hegemony in Vietnam, war of profit, power and religion in Iraq. Obama, a Nobel Peace Prize holder (but not winner), is responsible for initiating two potential global wars of the 21st century - new Cold War with Russia, War with China. It's all about power and profit. The Pentagon even commissioned a study by the Rand Corporation on how to fight a war with China, report just released. U.S. government sees China rise and activities in the S. China Sea as a direct challenge to its claimed global hegemony. There is some truth to it. American Navy currently can block all sea traffic on the Malacca Strait to chock off China. It has stationed forces in Singapore. China response to this threat is part of settling the borders on the South China Sea. A settlement to its favor is to enable China to defend the Malacca Strait blockage. If it works, America claim of global dominance will have a big limp cut off. Now what is Canada going to do with America challenge to our NWP sovereignty. Cry and beg? No, build a fleet of Arctic Offshore Patrol Boats, lightly armed, to act as surveillance and intruder trigger. There is only one force the U.S. empire mongers understand - Force.",yes,yes,yes,"LABEL: yes
REASON: The comment provides specific points, evidence, and a solution related to the Northwest Passage sovereignty and the U.S.-Canada relationship.",LABEL: yes
source1_25343745_19_0_0,"But how do you know the brakes work? Is there a safety shield in place to protect the driver? People can have multiple identities so the driver never really knows who they're picking up. I find a lot of the support for Uber to be naive. The people who run Uber are not your friends. They want their drivers to earn as little as they can get away with and they want to skim as much money as possible -- while doing basically nothing. We need more rideshare services that are owned by the drivers, or someone needs to create an open source uber.",yes,yes,yes,"LABEL: yes
REASON: The comment provides specific criticisms of Uber's practices, offers a personal experience, and engages with the article's argument by pointing out flaws in the company's operations.",LABEL: yes
source1_26373964_23,"You know the numbers are suspect.....when the very same report tells you........ 'The Government’s net debt (total liabilities less financial assets) stood at $687.0 billion at March 31, 2015, up $4.6 billion from March 31, 2014.' Page 24 - http://www.fin.gc.ca/afr-rfa/2015/afr-rfa-eng.pdf In what kind of fairy tale universe could adding $4.6 billion to the National Debt be construed as having a $1.9 billion surplus ?",yes,no,yes,"LABEL: no
REASON: The comment is not constructive as it is an insult and contains a one-line dismissal.",LABEL: yes
source1_25343745_31_0,"Why do they need to be compensated? Technology has changed the market conditions. When that happens something that once had value might not in the future. If you purchase a house or stock in an oil company, you are not guaranteed its value in perpetuity. These people made a speculative investment and are now trying to suggest it was a guarantee. I don't suspect that the city ever made any guarantees about the value of taxi plates.",yes,no,yes,"LABEL: no
REASON: The comment is not constructive because it is an insult and lacks specific evidence or a personal experience.",LABEL: yes
source1_20144737_25_0,It will collect dust on a shelf somewhere.,no,no,no,"LABEL: no
REASON: The comment is an insult and lacks constructive feedback.",LABEL: no
source1_32013536_91,"I would have preferred that no foreigner, or alien or whatever you want to call a person not a Canadian, were completely prohibited from buying canadian real estate. Furthermore it should have included all speculators including canadians.",no,no,no,"LABEL: no
REASON: The comment is not constructive because it is an unsupported assertion and includes a personal opinion that does not provide evidence or a solution.",LABEL: no
source1_32746841_101,"Go Donald go, as a Canadian, I wouldhave voted D. Trump if it were allowed. Ihad this pegged over a year ago.",no,no,no,"LABEL: no
REASON: The comment is an unsupported assertion and an insult, not a constructive contribution to the conversation.",LABEL: no
source1_25343745_30_0,"How many cab drivers have training in first aid? Or speak fluent English, for that matter?",no,no,no,"LABEL: no
REASON: The comment is not constructive because it is an insult and lacks specific evidence or a personal experience.",LABEL: no
