nid,title,category,full_path,cnn_valid,cnn_emb_idx
545775,"EKKER BUTTE RISES IN THE CRYSTAL AIR OF CANYONLANDS NATIONAL PARK. THE SMALLER ARCHES NATIONAL PARK LIES JUST TO THE NORTH OF THE TOWN. BATES WILSON, SUPERINTENDENT OF BOTH PARKS, SAYS THEIR MOST IMPORTANT FEATURE AT THIS TIME IS THEIR CLEAR ATMOSPHERE. HE FEARS THIS WILL BE HARMED SOON BY THE OPERATION OF GIANT COAL-BURNING POWER PLANTS IN UTAH AND ADJOINING STATES. SOME PEOPLE FEEL THAT THE AIR IS ALREADY BEGINNING TO SUFFER FROM THE EFFECTS OF THE HUGE PLANT AT SHIPROCK, NEW MEXICO",Rural Landscape,data/documerica_subset\545775.jpg,True,31
545971,A NATURAL GAS INSTALLATION BURNS ITS PETRO WASTE MARSHLANDS IN FOREGROUND NEAR THE FREEPORT SULPHUR CO. PIPELINE CANAL,Pollution and Environmental Damage,data/documerica_subset\545971.jpg,True,32
546060,"BAYOU SEGNETTE SWAMPLAND, WHICH HAS BEEN DEVASTATED BY RUNOFF PETROLEUM SLUDGE FROM A NEARBY NATURAL GAS INSTALLATION STUMPS OF GIANT VIRGIN CYPRESS TREES ATTEST TO THE RAVAGES OF INDUSTRIAL POLLUTION",Pollution and Environmental Damage,data/documerica_subset\546060.jpg,True,33
546138,CLOSE-UP OF GARBAGE AND TINY DEAD FISH WHICH WERE WASHED ASHORE ALONG LAKE CHARLES. MERCURY CONTENT OF THE LAKE IS HIGH BECAUSE OF HEAVY CONCENTRATION OF INDUSTRY NEARBY,Pollution and Environmental Damage,data/documerica_subset\546138.jpg,True,34
546237,SULPHUR FUMES POUR OUT OF THE SMOKESTACKS OF THE OLIN MATHIESON CHEMICAL PLANT,Pollution and Environmental Damage,data/documerica_subset\546237.jpg,True,35
546252,"CONSTRUCTION OF I-55, NORTH OF DURANT. WATER IS BEING SPRAYED ON ROADWAY BASE AND ON STEEL RODS. THE STEEL ROD USED HERE FOR REINFORCEMENT, WERE MADE FROM SHREDDED AUTOMOBILES",Pollution and Environmental Damage,data/documerica_subset\546252.jpg,True,36
546261,"COMPACTED OLD CARS ON FLATBED TRUCK ARE READY FOR THE SHREDDER (IN BACKGROUND), AT THE KLEAN STEEL MANUFACTURING CORPORATION IN FLOWOOD. MR. V.T. HAWKINS, DIRECTOR OF SOLID WASTE PLANNING, STATE BOARD OF HEALTH, IS ALONGSIDE THE TRUCK",Transportation and Infrastructure,data/documerica_subset\546261.jpg,True,37
546423,IRWIN MANAGEMENT OFFICES,Urban Landscape,data/documerica_subset\546423.jpg,True,38
546582,"LOOKING SOUTH, WHITE HOUSE TO POTOMAC RIVER",Urban Landscape,data/documerica_subset\546582.jpg,True,39
546599,"PARKING AREA AT WOODWARD HIGH SCHOOL ON OLD GEORGETOWN ROAD IN BETHESDA, MD",Transportation and Infrastructure,data/documerica_subset\546599.jpg,True,40
546621,METRO SUBWAY CONSTRUCTION ADDS TO CITY TRAFFIC PROBLEMS,Transportation and Infrastructure,data/documerica_subset\546621.jpg,True,41
546632,"MECHANICS AT WORK AT ""CALL CARL,"" COMPUTERIZED CENTER",Pollution and Environmental Damage,data/documerica_subset\546632.jpg,True,42
546651,"PARK AND RIDE STATION AT SPRINGFIELD, VA. THESE WIND CHILLED MEN ARE WAITING FOR THE PENTAGON BUS",People and Community,data/documerica_subset\546651.jpg,True,43
546687,"NEW TRAFFIC ""MIXING BOWL"" (NEAR PENTAGON), LOOKING WEST",Transportation and Infrastructure,data/documerica_subset\546687.jpg,True,44
546847,"DON MILLER, OF THE MARYLAND WATER RESOURCES ADMINISTRATION, CHECKS WATER OF STONY RUN AFTER ACCIDENTAL SPILLAGE OF 4000 GALLONS OF OIL",Pollution and Environmental Damage,data/documerica_subset\546847.jpg,True,45
546855,A REST AND A CHAT ON A PARK BENCH,People and Community,data/documerica_subset\546855.jpg,True,46
546869,"LONGSHOREMAN UNLOADS CARGO AT DUNDALK MARINE TERMINAL, A MARYLAND PORT AUTHORITY FACILITY, IN BALTIMORE HARBOR",Transportation and Infrastructure,data/documerica_subset\546869.jpg,True,47
546910,"CONTAINER CARGO IS UNLOADED AT DUNDALK MARINE TERMINAL, A MARYLAND PORT AUTHORITY FACILITY",Transportation and Infrastructure,data/documerica_subset\546910.jpg,True,48
547038,LAKE MICHIGAN STORM HAS RIPPED SIDING FROM HOUSE AND TORN UP THE YARD IN ZION,Rural Landscape,data/documerica_subset\547038.jpg,True,49
547100,WAVES POUND SEAWALL IN MICHIGAN CITY,Urban Landscape,data/documerica_subset\547100.jpg,True,50
547165,A GUARD IS POSTED ON THE ONLY ACCESS ROAD TO THE LAKESIDE COMMUNITY OF DUNE ACRES,People and Community,data/documerica_subset\547165.jpg,True,51
547172,STEEL MILL WASTE ALONG THE SOUTHERN SHORE OF LAKE MICHIGAN,Pollution and Environmental Damage,data/documerica_subset\547172.jpg,True,52
547381,"AUCTIONEER DOES BRISK BUSINESS AT THE HICKMAN SATURDAY AUCTION, 15 MILES SOUTH OF LINCOLN",Agriculture and Farming,data/documerica_subset\547381.jpg,True,53
547877,PLUM BEACH AT SHEEPSHEAD BAY,Pollution and Environmental Damage,data/documerica_subset\547877.jpg,True,54
547878,Garbage Outside a Seafood Restaurant in Sheepshead Bay,Pollution and Environmental Damage,data/documerica_subset\547878.jpg,True,55
547983,DUMPING GARBAGE IN LANDFILL OPERATION ON JAMAICA BAY INCREASED WATER POLLUTION AS WELL AS SERIOUS ECOLOGICAL DAMAGE IS FEARED,Pollution and Environmental Damage,data/documerica_subset\547983.jpg,True,56
548159,SOIL CONSERVATION SERVICE SIGN AT TILLY JANE CAMPGROUND ON MT. HOOD. FEDERAL AND STATE COOPERATIVE SNOW SURVEYS ARE CARRIED OUT HERE,Nature and Wildlife,data/documerica_subset\548159.jpg,True,57
548301,"FISHERMEN AT PASS MANCHAC. SINCE THE RECENT OPENING OF THE BONNET CARRE SPILLWAY, MUDDY AND POLLUTED MISSISSIPPI RIVER WATER HAS ENTERED THE BRACKISH LAKES PONTCHARTRAIN AND MAUREPAS MANCHAC IS DIRECTLY BETWEEN THE TWO LAKES, AND FISHING HAS SUFFERED WITH THE DECLINE IN WATER QUALITY",Transportation and Infrastructure,data/documerica_subset\548301.jpg,True,58
548485,LOOKING TO THE NORTHWEST FROM THE CENTER OF NEPTUNE ROAD,Nature and Wildlife,data/documerica_subset\548485.jpg,True,59
548555,SAILING ON ONE OF THE LAKES IN THE CENTURY VILLAGE RETIREMENT COMMUNITY,Transportation and Infrastructure,data/documerica_subset\548555.jpg,True,60
548687,"IF YOU LOOK VERY HARD, AND HAVE A GOOD GUIDE TO THE AREA, YOU CAN FIND ONE OF THE PRIZED MAHOGANY TREES FOR WHICH KEY LARGO WAS FAMOUS. DURING THE 18TH AND 19TH CENTURIES ENGLISH CABINET MAKERS USED THESE TREES TO CREATE FINE FURNITURE. THE TREES ARE SCARCER NOW, OWING TO EXTENSIVE LAND DEVELOPMENT",Rural Landscape,data/documerica_subset\548687.jpg,True,61
548702,"MANGROVE TREES GROWING OFF-SHORE FROM THE STATE PARK AT LONG KEY. MANGROVES, IMPORTANT TO THE AREA'S ECOSYSTEM, HAVE BEEN CLEARED OUT IN GREAT NUMBERS BY LAND DEVELOPERS. STUDIES INDICATE THAT THE REMOVAL OF THE TREES, AMONG OTHER HARMFUL EFFECTS THREATENS THE FOOD CHAIN NECESSARY TO MARINE LIFE AND, THEREFORE ENDANGERS THE LOCAL FISHERIES",Rural Landscape,data/documerica_subset\548702.jpg,True,62
548711,"ONE OF THE MANY SPECIES OF CORAL AT JOHN PENNEKAMP CORAL REEF STATE PARK, A FEW MILES OFF KEY LARGO",Pollution and Environmental Damage,data/documerica_subset\548711.jpg,True,63
548786,"A SMALL, PRIVATELY-OWNED KEY NEAR SUMMERLAND KEY. NOTE FINE BEACH",Pollution and Environmental Damage,data/documerica_subset\548786.jpg,True,64
549045,"SMILING PARTICIPANT IN THE ""JUNIOR RODEO"", SPONSORED BY THE PARKER INDIAN RODEO ASSOCIATION AND HELD ON THE COLORADO RIVER INDIAN RESERVATION",Agriculture and Farming,data/documerica_subset\549045.jpg,True,65
549054,FISHERMAN NEAR EL CENTRO,Agriculture and Farming,data/documerica_subset\549054.jpg,True,66
549303,"OUTFLOW OF DRAINAGE FROM THE WORLD TRADE CENTER, NEW YORK'S LATEST GIANT, UNDER CONSTRUCTION BETWEEN VESEY AND LIBERTY STREETS IN LOWER MANHATTAN. THERE IS NO PROVISION FOR WASTE TREATMENT. AS IS THE CASE WITH ALL WESTSIDE BUILDINGS, SEWAGE WILL GO DIRECTLY INTO THE ALREADY BADLY POLLUTED HUDSON RIVER",Urban Landscape,data/documerica_subset\549303.jpg,True,67
549766,"APARTMENTS OF ""CO-OP CITY,"" A VAST HOUSING DEVELOPMENT IN THE BRONX, NOT FAR FROM PELHAM. THESE BUILDINGS STAND ON THE EDGE OF A LANDFILL DUMP, WHERE GARBAGE CONTINUES TO PILE UP ALTHOUGH THE AREA HAS ALREADY EXCEEDED ITS DUMPING CAPACITY",Urban Landscape,data/documerica_subset\549766.jpg,True,68
549774,"ILLEGAL DUMPING AREA OFF THE NEW JERSEY TURNPIKE, FACING MANHATTAN ACROSS THE HUDSON RIVER. TO THE SOUTH IS THE LANDFILL SITE OF THE PROPOSED LIBERTY STATE PARK",Pollution and Environmental Damage,data/documerica_subset\549774.jpg,True,69
549789,LOT BEHIND APARTMENT HOUSE AT LEXINGTON AVENUE AND 105TH STREET IS STREWN WITH ASSORTED TRASH,Pollution and Environmental Damage,data/documerica_subset\549789.jpg,True,70
549817,"GARBAGE IS TOWED DOWN THE EAST RIVER TO STATEN ISLAND LANDFILL, MANHATTAN IN BACKGROUND",Pollution and Environmental Damage,data/documerica_subset\549817.jpg,True,71
550001,COPLEY SQUARE AT 9 A.M. JOHN HANCOCK BUILDING AND TRINITY CHURCH,Urban Landscape,data/documerica_subset\550001.jpg,True,72
550024,"Shawmut Avenue in Roxbury Section, Looking toward Copley Square. John Hancock Building at Rear",Urban Landscape,data/documerica_subset\550024.jpg,True,73
550128,AMISH SHOPPER ON BUSY THOROUGHFARE IN MIDDLEFIELD,Urban Landscape,data/documerica_subset\550128.jpg,True,74
550134,CLEVELAND ON LAKE ERIE,Industrial Site,data/documerica_subset\550134.jpg,True,75
550144,OLD VICTORIAN HOUSE AT 2904 CLINTON STREET IS BEING RESTORED AS PART OF THE OHIO CITY AREA RENEWAL PROJECT,Urban Landscape,data/documerica_subset\550144.jpg,True,76
550257,VACANT AND ABANDONED HOMES IN INNER CITY INVITE ARSON VANDALISM AND DUMPING,Pollution and Environmental Damage,data/documerica_subset\550257.jpg,True,77
550582,"VIEW SOUTHEAST TOWARD DELTA JUNCTION. THIS SMALL TOWN LIES AT THE MAIN HIGHWAY INTERSECTION OF THE ALASKA HIGHWAY (THE ALCAN) AND ALASKA'S RICHARDSON HIGHWAY, WHICH LINKS FAIRBANKS AND VALDEZ THE SOUTHERN TERMINUS OF THE PIPELINE",Pollution and Environmental Damage,data/documerica_subset\550582.jpg,True,78
550630,"CHUGACH PEAKS SOUTH OF THE RICHARDSON HIGHWAY. VIEW SOUTH HERE, THE PIPELINE ROUTE RUNS LEFT TO RIGHT, EAST TO WEST, ALONG THE CLEARED CUT ABOVE THE RIVER",Pollution and Environmental Damage,data/documerica_subset\550630.jpg,True,79
550645,"GLACIERS GUARDING THE ENTRANCE TO THOMPSON PASS. VIEW SOUTH. BECAUSE THE VALLEYS THROUGH WHICH THE PIPELINE AND HIGHWAY RUN ARE SO STEEP, THESE GLACIERS ARE INVISIBLE FROM THE VALLEY FLOOR",Pollution and Environmental Damage,data/documerica_subset\550645.jpg,True,80
550665,"FISHING IN THE ANDROSCOGGIN RIVER IN THE ""13-MILE WOOD"" AREA NEAR ERROL. THE RIVER RISES IN NEARBY LAKE UMBAGOG ON THE MAINE-NEW HAMPSHIRE BOUNDARY",Pollution and Environmental Damage,data/documerica_subset\550665.jpg,True,81
550673,"VIEW NORTH ALONG THE ANDROSCOGGIN RIVER FROM THE BROWN PAPER COMPANY, ONE OF THE CITY'S INDUSTRIAL PLANTS",Industrial Site,data/documerica_subset\550673.jpg,True,82
550753,"ALGAE COLLECT INSIDE BAYS OF THE FOX RIVER BETWEEN APPLETON AND GREEN BAY. THERE ARE 19 SOURCES OF INDUSTRIAL POLLUTION ALONG THIS 40-MILE STRETCH. THE PROBLEM IS COMPOUNDED BY ALGAE IN LAKE WINNEBAGO, WHICH DIES IN THE LAKE, DECOMPOSE IN THE RIVER, AND PASS INTO THE BAY",Pollution and Environmental Damage,data/documerica_subset\550753.jpg,True,83
550782,ONE OF THE MANY SWAMPS OF NORTHEASTERN WISCONSIN THAT CONTRIBUTE TO THE HEADWATERS OF THE WISCONSIN RIVER,Rural Landscape,data/documerica_subset\550782.jpg,True,84
550812,PEPSI CANS AND OTHER LITTER NEAR THE BANKS OF THE WISCONSIN RIVER AT MERRILL,Pollution and Environmental Damage,data/documerica_subset\550812.jpg,True,85
550870,CHARMIN PAPER COMPANY AT GREEN BAY CONTRIBUTES ITS SHARE OF SMOKE AND SULFITE ODOR TO THE HEAVILY INDUSTRIALIZED BAY AREA. THE LEADING INDUSTRY HERE IS PAPER AND PAPER PRODUCTS,Pollution and Environmental Damage,data/documerica_subset\550870.jpg,True,86
550938,SMOKESTACK OF THE DU POINT CHEMICAL PLANT ON THE HOUSTON SHIP CHANNEL,Pollution and Environmental Damage,data/documerica_subset\550938.jpg,True,87
550975,"GLEN FERRIS, ON THE KANAWHA RIVER NEAR GAULEY BRIDGE, IS A POPULAR SPOT FOR CAMPING AND FISHING",Pollution and Environmental Damage,data/documerica_subset\550975.jpg,True,88
551052,LOOKING UP THE KANAWHA RIVER VALLEY FROM DEEP WATER TOWARD ALLOY WHERE SMOKE FROM UNION CARBIDE'S FERROALLOY PLANT RISES HIGH INTO THE AIR,Pollution and Environmental Damage,data/documerica_subset\551052.jpg,True,89
551072,RESIDENTIAL STREET IN WEST BELLE. DUPONT PLANT IN BACKGROUND,Industrial Site,data/documerica_subset\551072.jpg,True,90
551089,"RALEIGH JUNK COMPANY, A LARGE SCRAP METAL OPERATION ON THE KANAWHA RIVER AT RIVERSIDE",Pollution and Environmental Damage,data/documerica_subset\551089.jpg,True,91
551173,MONSANTO CHEMICAL COMPANY AT NITRO ON THE KANAWHA RIVER INTERSTATE 64 CROSSES THE RIVER JUST BELOW THE PLANT. IN THE DISTANCE ARE THE CHIMNEYS AND COOLING TOWERS OF THE JOHN AMOS POWER PLANT,Industrial Site,data/documerica_subset\551173.jpg,True,92
551280,FISHERMAN LAUNCHES HIS BOAT INTO THE GRAND GLAIZE ARM OF THE LAKE FROM THE CAMP-GROUNDS IN LAKE OF THE OZARKS STATE PARK,Nature and Wildlife,data/documerica_subset\551280.jpg,True,93
551389,"ANNUAL SMELT RUN AT SINGING BRIDGE, TAWAS CITY. IN MID-APRIL THOUSANDS OF FISHERMEN GATHER AT WHITNEY DRAIN, A MANMADE CANAL ON LAKE HURON, TO DIPNET FOR THESE SMALL FISH. FOG DOES NOT DETER THE FISHERMEN",Pollution and Environmental Damage,data/documerica_subset\551389.jpg,True,94
551402,"ANNUAL SMELT RUN AT SINGING BRIDGE, TAWAS CITY. IN MID-APRIL THOUSANDS OF FISHERMEN GATHER AT WHITNEY DRAIN, A MANMADE CANAL ON LAKE HURON, TO DIPNET FOR THESE SMALL FISH. FISHERMEN, WAITING FOR THE NEXT RUN, ENJOY A CAMP FIRE",People and Community,data/documerica_subset\551402.jpg,True,95
551403,"ANNUAL SMELT RUN AT SINGING BRIDGE, TAWAS CITY. IN MID-APRIL THOUSANDS OF FISHERMEN GATHER AT WHITNEY DRAIN, A MANMADE CANAL ON LAKE HURON, TO DIPNET FOR THESE SMALL FISH. DIPNETTING AT NIGHT",People and Community,data/documerica_subset\551403.jpg,True,96
551496,"THE ATTRACTIVE LIGHTING AND WELL-KEPT SHRUBS, TREES AND FLOWERS MAKE NICOLLET MALL A QUIET OASIS IN THE CITY",Urban Landscape,data/documerica_subset\551496.jpg,True,97
551712,"STAIRWAY TO CARL SCHURZ PARK, BETWEEN EAST END AVENUE AND THE EAST RIVER IN MANHATTAN'S UPPER EAST SIDE. THE PARK, WHICH EXTENDS FROM 84TH STREET TO 90TH STREET AND AFFORDS SUPERB VIEWS OF THE RIVER TRAFFIC BELOW, IS ALSO THE SITE OF HISTORIC GRACIE MANSION NOW THE RESIDENCE OF THE MAYOR OF NEW YORK",Urban Landscape,data/documerica_subset\551712.jpg,True,98
551790,MUNICH'S LARGE AND BEAUTIFUL FUSSGANGERZONE (PEDESTRIAN ZONE) HAS RETURNED THE CITY'S COMMERCIAL AND CULTURAL CENTER TO THE PEOPLE. IT IS TOTALLY TRAFFIC FREE. NOT EVEN BICYCLE RIDING IS PERMITTED,Urban Landscape,data/documerica_subset\551790.jpg,True,99
551875,"AUTOMATIC VENDORS SELL TICKETS FOR PUBLIC TRANSPORTATION--BUS, TROLLEY, SUBWAY AND SCHNELLBAHN (EXPRESS) DATE AND TIME ARE RECORDED ON THE TICKET WHEN IT IS INSERTED INTO THE PUNCHER MARKED ""E."" NO TRANSFERS ARE NEEDED",Industrial Site,data/documerica_subset\551875.jpg,True,100
551914,TRUCK DELIVERY IS SO SLOW ON THE INNER CITY'S NARROW STREETS THAT MANY DELIVERIES ARE MADE ON FOOT,Urban Landscape,data/documerica_subset\551914.jpg,True,101
551996,AUTO WRECKERS AND AUTO JUNK-YARD ON MERIDITH AVENUE UNWANTED AUTOMOBILE BODIES AND PARTS ARE DUMPED INTO ARTHUR KILL,Pollution and Environmental Damage,data/documerica_subset\551996.jpg,True,102
552061,"OUTFALL FROM THE SHAWNEE AVENUE PUMPING PLANT INTO THE KANSAS RIVER, JUST DOWN-STREAM FROM THE KANSAS CITY RAILROAD TERMINAL BRIDGE. DISCHARGE CONTAINS A CHEMICAL THAT HAS CAUSED THE RED DISCOLORATION",Pollution and Environmental Damage,data/documerica_subset\552061.jpg,True,103
552077,12TH STREET IN THE EARLY MORNING LOOKING SOUTH TOWARD THE KANSAS RIVER. JUNK CARS ARE BEING BROUGHT TO A LOCAL FACTORY WHICH PROCESSES SCRAP METAL,Transportation and Infrastructure,data/documerica_subset\552077.jpg,True,104
552092,THE OWNER OF THIS HUGE JUNK SHOP ON THE KANSAS RIVER IN BONNER SPRING DIED IN 1971. NOW THERE IS ONLY THE RIVER AND THE JUNK EACH DAY THE RIVER CLAIMS A SMALL PART,Urban Landscape,data/documerica_subset\552092.jpg,True,105
552120,"WARREN FREEMAN, 50, BUILT A COTTAGE ON AN ISLAND IN THE KANSAS RIVER. THE ISLAND LIES BETWEEN THE 18TH STREET AND EAST KANSAS AVENUE BRIDGES. UNEMPLOYMENT CHECKS AND FISHING ARE HIS PRESENT MEANS OF SUPPORT. FREEMAN IS LOADING HIS BOAT ON AN AUTOMOBILE TRAILER",Pollution and Environmental Damage,data/documerica_subset\552120.jpg,True,106
552193,BLACK SMOKE POURING FROM CROWN ZELLERBACH KRAFT PULP MILL,Pollution and Environmental Damage,data/documerica_subset\552193.jpg,True,107
552282,"CRAB NETTING AT BRINNON TIDE FLAT ON THE HOOD CANAL BRINGS OUT LARGE CROWDS DURING THE SPRING AND SUMMER MINUS TIDES. CATCH IS MAINLY DUNGENESS CRABS, WHICH MUST MEASURE SIX INCHES ACROSS THE SHELL. ONLY THE MALE CRABS MAY BE RETAINED",Pollution and Environmental Damage,data/documerica_subset\552282.jpg,True,108
552369,"LOS ANGELES REACTIVE POLLUTANT PROGRAM (LARPP), A UNIQUE MULTI-AGENCY AIR POLLUTION RESEARCH STUDY SPONSORED BY THE COORDINATING RESEARCH COUNCIL, A GOVERNMENT-INDUSTRY RESEARCH GROUP",Agriculture and Farming,data/documerica_subset\552369.jpg,True,109
552378,"LOS ANGELES REACTIVE POLLUTANT PROGRAM (LARPP), A UNIQUE MULTI-AGENCY AIR POLLUTION RESEARCH STUDY SPONSORED BY THE COORDINATING RESEARCH COUNCIL, A GOVERNMENT-INDUSTRY RESEARCH GROUP",Transportation and Infrastructure,data/documerica_subset\552378.jpg,True,110
552390,"THE LOS ANGELES REACTIVE POLLUTANT PROGRAM (LARPP), IS A UNIQUE, MULTI-AGENCY AIR POLLUTION RESEARCH STUDY SPONSORED BY THE COORDINATING RESEARCH COUNCIL, A GOVERNMENT-INDUSTRY RESEARCH GROUP. AT THE OPERATIONS CENTER IN EL MONTE, THE ENTIRE PROJECT IS PLOTTED, MAPPED, AND RECORDED BY PERSONNEL FROM EPA AND METRONICS CORPORATION",Transportation and Infrastructure,data/documerica_subset\552390.jpg,True,111
552674,"FAIRVIEW CHURCH AND SCHOOL ARE ABANDONED NOW. IN THE 1950'S FIFTY-SIX STUDENTS ATTENDED FAIRVIEW SCHOOL (TO THE RIGHT OF THE CHURCH) AND FAIRVIEW WAS THE COMMUNITY CENTER FOR THE FARM PEOPLE IN THE AREA. WHEN SMALL RANCHES COULD NO LONGER SUPPORT THEIR OWNERS, MANY HAD TO LEAVE",Rural Landscape,data/documerica_subset\552674.jpg,True,112
