nid,title,category,full_path
557819,"A NEW YORK CITY SLUDGE CARRIER DUMPS ITS CARGO INTO WATERS OF THE NEW YORK BIGHT. THE U.S. COAST GUARD IS RESPONSIBLE FOR MONITORING ALL OCEAN DUMPING IN THE BIGHT WHICH INCLUDES 15,000 SQUARE MILES OF OCEAN WATERS AND THE CONTINENTAL SHELF OFF THE COASTS OF NEW YORK AND NEW JERSEY THE NATIONAL OCEANOGRAPHIC AND ATMOSPHERIC ADMINISTRATION IS CONDUCTING A MARINE ECOSYSTEMS ANALYSIS PROGRAM IN THE BIGHT. THE MULTI-YEAR PROJECT IS BEING OBSERVED BY EPA AND THE COAST GUARD",Urban Landscape,data/documerica_subset\557819.jpg
555922,"PRIVATE RESIDENCE ON NORTH MAIN STREET IN PATERSON, NEW JERSEY. THE INNER CITY TODAY IS AN ABSOLUTE CONTRADICTION TO THE MAIN STREAM AMERICA OF GAS STATIONS, EXPRESSWAYS, SHOPPING CENTERS AND TRACT HOMES. IT IS POPULATED BY BLACKS, LATINS AND THE WHITE POOR. MOST OF ALL, THE INNER CITY IS HUMAN BEINGS, AS THREATENED AND BEAUTIFUL AS THE 19TH CENTURY BUILDINGS IN THEIR ENVIRONMENT",People and Community,data/documerica_subset\555922.jpg
552077,12TH STREET IN THE EARLY MORNING LOOKING SOUTH TOWARD THE KANSAS RIVER. JUNK CARS ARE BEING BROUGHT TO A LOCAL FACTORY WHICH PROCESSES SCRAP METAL,Industrial Site,data/documerica_subset\552077.jpg
557099,"VIEW OF OVERGRAZED PRAIRIE WITH HARDWOOD FOREST IN THE DISTANCE IN DONIPHAN COUNTY KANSAS, NEAR TROY IN THE EXTREME NORTHEAST CORNER OF THE STATE. PLANTS THAT INHABIT THE AREA ONCE COVERED BY TALLGRASS PRAIRIE INCLUDE GOLDENROD; DOGBANE AND BROME GRASS. NORTHEAST KANSAS IS UNIQUE BECAUSE IT CONTAINS THE ONLY HARDWOOD FOREST IN THE STATE IN ADDITION TO TALLGRASS PRAIRIE",Rural Landscape,data/documerica_subset\557099.jpg
550630,"CHUGACH PEAKS SOUTH OF THE RICHARDSON HIGHWAY. VIEW SOUTH HERE, THE PIPELINE ROUTE RUNS LEFT TO RIGHT, EAST TO WEST, ALONG THE CLEARED CUT ABOVE THE RIVER",Urban Landscape,data/documerica_subset\550630.jpg
556893,"SOUTHERN RAILWAY RIGHT-OF-WAY MACHINERY AND WORK CREW IMPROVING THE ROADBED. IN 1974 THE COMPANY SPENT 18.6 PERCENT OF ITS REVENUE IN TRACK MAINTENANCE, THE HIGHEST IN THE INDUSTRY. THAT YEAR SOUTHERN LAID 91,808 TONS OF RAIL AND PLACED 2,278,318 RAILROAD TIES. THE MAXIMUM SAFE SPEED ON THE COMPANY'S TRACK IS USUALLY 60 MILES PER HOUR FOR THE ENTIRE 10,531 MILES OF THE SYSTEM. IN COMPARISON, ANOTHER COMPANY HAS ONE SECTION WITH AN EIGHT MILES PER HOUR TOP SPEED",Transportation and Infrastructure,data/documerica_subset\556893.jpg
544647,LITTER LEFT BY VISITORS IN THE TAMIAMI CANAL AREA BESIDE EVERGLADES NATIONAL PARK,Urban Landscape,data/documerica_subset\544647.jpg
557635,"DOWNTOWN MAIN STREET IN HOUSTON, TEXAS. THIS IS ONE OF A SERIES OF 21 BLACK AND WHITE PHOTOGRAPHS. THEY DOCUMENT THE ENVIRONMENTS REMAINING FROM THE 19TH CENTURY IN TERMS OF ARCHITECTURE, COMMERCE AND LIFESTYLES. THE PICTURES ALSO COMPARE THE CONTEMPORARY CITY SHOWING DISPLACEMENT OF THE UNIQUE BY THE ORDINARY AND NOTING CURRENT URBAN PROBLEMS. THE PICTURES SHOW A REGION AND ITS UNIQUENESS IN PEOPLE AND ARCHITECTURE IN EAST TEXAS WHICH IS STILL A PART OF THE SOUTH",Urban Landscape,data/documerica_subset\557635.jpg
556195,"A PORTION OF LAKE SHORE DRIVE IN CHICAGO. IT AND THE OUTER DRIVE ARE THE CITY'S MOST SPECTACULAR STREET. TRAFFIC MOTORS ALONG LAKE MICHIGAN FROM 5600 NORTH TO 6600 SOUTH, GENERALLY AT 45 MPH. THE DRIVE PROVIDES A CONTINUOUS, LANDSCAPED ASPECT OF CHICAGO'S FRONT YARD. THERE ARE FOUR LANES EACH WAY, BUT SIX LANES ARE ONE WAY IN AND SIX OUT DURING THE MORNING AND EVENING RUSH HOURS. THE FIELD MUSEUM OF NATURAL HISTORY IS SEEN IN THE BACKGROUND",Urban Landscape,data/documerica_subset\556195.jpg
553497,"THE WATKINS OF MULKY SQUARE, A FAMILY OF ELEVEN, LIVE IN THE 1600 BLOCK OF MADISON STREET, A FEW BLOCKS FROM THE AREA BEING CLEARED FOR I-635. MRS. WATKINS AND SOME OF HER YOUNGER CHILDREN",Urban Landscape,data/documerica_subset\553497.jpg
552378,"LOS ANGELES REACTIVE POLLUTANT PROGRAM (LARPP), A UNIQUE MULTI-AGENCY AIR POLLUTION RESEARCH STUDY SPONSORED BY THE COORDINATING RESEARCH COUNCIL, A GOVERNMENT-INDUSTRY RESEARCH GROUP",Pollution and Environmental Damage,data/documerica_subset\552378.jpg
547100,WAVES POUND SEAWALL IN MICHIGAN CITY,Urban Landscape,data/documerica_subset\547100.jpg
547381,"AUCTIONEER DOES BRISK BUSINESS AT THE HICKMAN SATURDAY AUCTION, 15 MILES SOUTH OF LINCOLN",Urban Landscape,data/documerica_subset\547381.jpg
556553,"A MINER WHO HAD COMPLETED HIS WORK SHIFT IS SHOWN ON A PONY BELONGING TO THE FAMILY OF THE TAVERN OPERATOR. A SHORT WHILE LATER HE WAS BUCKED OFF. THERE IS LITTLE FOR THE YOUNG MINERS TO DO IN THE SMALL MINING TOWNS OTHER THAN DRINK BEER AND TALK. IN RHODELL, WEST VIRGINIA, NEAR BECKLEY",Urban Landscape,data/documerica_subset\556553.jpg
552674,"FAIRVIEW CHURCH AND SCHOOL ARE ABANDONED NOW. IN THE 1950'S FIFTY-SIX STUDENTS ATTENDED FAIRVIEW SCHOOL (TO THE RIGHT OF THE CHURCH) AND FAIRVIEW WAS THE COMMUNITY CENTER FOR THE FARM PEOPLE IN THE AREA. WHEN SMALL RANCHES COULD NO LONGER SUPPORT THEIR OWNERS, MANY HAD TO LEAVE",Rural Landscape,data/documerica_subset\552674.jpg
554562,"ABANDONED FARM WHICH DID NOT SUCCEED NEAR ELIZABETHTOWN NEW YORK, IN THE ADIRONDACK FOREST PRESERVE",Rural Landscape,data/documerica_subset\554562.jpg
556916,AERIAL VIEW LOOKING SOUTHWEST OF THE NORTH END OF THE BANGOR ANNEX NAVY INSTALLATION. PRIVATE FARMS ARE SEEN IN THE FOREGROUND WITH ACCESS FROM CLEAR CREEK ROAD. FACILITIES FOR THE NAVY'S NEW TRIDENT SUBMARINES WILL BE BUILT IN THE AREA. THE EXPECTED POPULATION GROWTH WILL AFFECT THE HUMANS AND THE ANIMALS WHO PRESENTLY LIVE THERE,Urban Landscape,data/documerica_subset\556916.jpg
552282,"CRAB NETTING AT BRINNON TIDE FLAT ON THE HOOD CANAL BRINGS OUT LARGE CROWDS DURING THE SPRING AND SUMMER MINUS TIDES. CATCH IS MAINLY DUNGENESS CRABS, WHICH MUST MEASURE SIX INCHES ACROSS THE SHELL. ONLY THE MALE CRABS MAY BE RETAINED",People and Community,data/documerica_subset\552282.jpg
546261,"COMPACTED OLD CARS ON FLATBED TRUCK ARE READY FOR THE SHREDDER (IN BACKGROUND), AT THE KLEAN STEEL MANUFACTURING CORPORATION IN FLOWOOD. MR. V.T. HAWKINS, DIRECTOR OF SOLID WASTE PLANNING, STATE BOARD OF HEALTH, IS ALONGSIDE THE TRUCK",Industrial Site,data/documerica_subset\546261.jpg
555743,"THE EAST SIDE OF MANHATTAN, NEW YORK. THE NEW YORK, NEW JERSEY METROPOLITAN REGION IS ONE OF THE MOST CONGESTED URBAN AND INDUSTRIAL AREAS OF THE WORLD. TRANSPORTATION IN AN AREA LIKE NEW YORK PRODUCES ENVIRONMENTAL PROBLEMS OF ITS OWN. THE AUTOMOBILE MUST TAKE RESPONSIBILITY FOR AIR POLLUTION, ONE OF THE MORE CRITICAL PROBLEMS AFFECTING THE BIGHT",Urban Landscape,data/documerica_subset\555743.jpg
554566,"NEW HIGHWAY 30 NEAR TUPPER LAKE, NEW YORK, SHOWS FINE GRADING, DRAINAGE FIELDS AND GRASSING FOR EROSION CONTROL, IN THE ADIRONDACK FOREST PRESERVE",Urban Landscape,data/documerica_subset\554566.jpg
551875,"AUTOMATIC VENDORS SELL TICKETS FOR PUBLIC TRANSPORTATION--BUS, TROLLEY, SUBWAY AND SCHNELLBAHN (EXPRESS) DATE AND TIME ARE RECORDED ON THE TICKET WHEN IT IS INSERTED INTO THE PUNCHER MARKED ""E."" NO TRANSFERS ARE NEEDED",Transportation and Infrastructure,data/documerica_subset\551875.jpg
550673,"VIEW NORTH ALONG THE ANDROSCOGGIN RIVER FROM THE BROWN PAPER COMPANY, ONE OF THE CITY'S INDUSTRIAL PLANTS",Industrial Site,data/documerica_subset\550673.jpg
557379,"UNION CARBIDE FERRO-ALLOY PLANT SEEN FROM DEEP WATER. TOTAL PLANT EMISSIONS DECREASED FROM 113,252 TONS TO 2,649 TONS FROM 1967 TO 1975, A DROP OF 97.7 PERCENT. THE DECREASE OCCURRED AFTER AGREEMENT ON A COMPLIANCE SCHEDULE BETWEEN UNION CARBIDE AND THE WEST VIRGINIA AIR POLLUTION CONTROL COMMISSION. THE U.S. ENVIRONMENTAL PROTECTION AGENCY STACK SAMPLED PLANT EMISSIONS WHILE DEVELOPING NATIONAL NEW SOURCE PERFORMANCE STANDARDS. (SEE IMAGES 8566 AND 8567)",Industrial Site,data/documerica_subset\557379.jpg
557007,"KITSAP COUNTY AUDUBON SOCIETY MEMBERS ON A FIELD TRIP. THEY ARE IDENTIFYING THE FAUNA AND FLORA ON A SMALL PIECE OF WILD LAND BEING MIS-USED BY WEEKEND TRAIL MOTOR BIKERS. INCREASED LAND USE PRESSURE IS EXPECTED WHEN THE NAVY'S TRIDENT SUBMARINE BASE IS BUILT NEARBY. A ""NEW CITY"" IS PROPOSED TO HOUSE A SUBSTANTIAL PORTION OF THE PROJECTED 27,000 PEOPLE WHO WILL MOVE INTO THE AREA WHEN THE NAVAL INSTALLATION IS COMPLETED",People and Community,data/documerica_subset\557007.jpg
551072,RESIDENTIAL STREET IN WEST BELLE. DUPONT PLANT IN BACKGROUND,Urban Landscape,data/documerica_subset\551072.jpg
556336,"SHIFT OF MINERS IN THE ELEVATOR WHICH WILL TAKE THEM DOWN TO WORK IN THE VIRGINIA-POCAHONTAS MINE #4 NEAR RICHLANDS, VIRGINIA THEY ARE HEADED FOR THE 1,200 FOOT LEVEL. THE BLACK HATS SIGNIFY THAT THE MEN ARE EXPERIENCED MINERS. THE MINER WITH THE GREEN HAT IS A SAFETY MAN. THESE MINES HAVE THREE SHIFTS, TWO WORKING AND ONE CLEANUP",Industrial Site,data/documerica_subset\556336.jpg
556874,"SOUTHERN RAILWAY RIGHT-OF-WAY WORKER, WORKING WITH A MACHINE THAT AIDS IN REPLACING OLD TRACK WITH NEW QUARTER MILE LONG SECTIONS OF RAIL. ON A GOOD DAY, WHEN THE CREW DOESN'T HAVE TO STOP WORK TOO MANY TIMES TO LET TRAINS PASS ON PARALLEL TRACKS THEY CAN LAY SLIGHTLY LESS THAN TWO MILES OF WELDED TRACKS PER DAY IN 1974 SOUTHERN HAD AN AVERAGE OF FOUR CREWS NUMBERING 50 TO 55 MEN EACH WORKING ON THE SYSTEM'S 10,531 MILES OF RAILROAD",Transportation and Infrastructure,data/documerica_subset\556874.jpg
545304,"ABANDONED CAR IN CLEAR CREEK CANYON, NEAR DUMONT",Urban Landscape,data/documerica_subset\545304.jpg
552806,IN THE SPRING OF 1973 THE MISSISSIPPI RIVER REACHED ITS HIGHEST LEVEL IN MORE THAN 150 YEARS. UNPRECEDENTED FLOODING OCCURRED THROUGHOUT THE RIVER BASIN. PARTICULARLY AFFECTED WERE THE MARSH AREAS BELOW NEW ORLEANS AND THE ENTIRE ATCHAFALAYA RIVER BASIN LAFITTE SHRIMP FISHERMAN WEAVES NET. THREE WEEKS EARLIER THIS AREA WAS UNDER FLOOD WATER,Urban Landscape,data/documerica_subset\552806.jpg
557404,"NEAT, WELL KEPT HOMES ON A HILLSIDE OF BOOMER, NEAR THE UNION CARBIDE FERRO-ALLOY PLANT. TOTAL PLANT EMISSIONS FROM THE METALLURGICAL FURNACES AND THE POWERHOUSE WERE REDUCED 97.7 PERCENT BETWEEN OCTOBER, 1967, AND SEPTEMBER, 1975. A COMPLIANCE SCHEDULE WAS REACHED BETWEEN THE COMPANY AND THE WEST VIRGINIA AIR POLLUTION CONTROL COMMISSION. EPA STACK SAMPLED PLANT EMISSIONS WHILE DEVELOPING NATIONAL NEW SOURCE PERFORMANCE STANDARDS. (SEE FICHE #141 TO 146)",Industrial Site,data/documerica_subset\557404.jpg
546060,"BAYOU SEGNETTE SWAMPLAND, WHICH HAS BEEN DEVASTATED BY RUNOFF PETROLEUM SLUDGE FROM A NEARBY NATURAL GAS INSTALLATION STUMPS OF GIANT VIRGIN CYPRESS TREES ATTEST TO THE RAVAGES OF INDUSTRIAL POLLUTION",Pollution and Environmental Damage,data/documerica_subset\546060.jpg
544970,"SMOKE FROM LUMBER MILL'S ""TEEPEE"" BURNER OBSCURES ADMINISTRATION BUILDING",Industrial Site,data/documerica_subset\544970.jpg
550975,"GLEN FERRIS, ON THE KANAWHA RIVER NEAR GAULEY BRIDGE, IS A POPULAR SPOT FOR CAMPING AND FISHING",Rural Landscape,data/documerica_subset\550975.jpg
546621,METRO SUBWAY CONSTRUCTION ADDS TO CITY TRAFFIC PROBLEMS,Transportation and Infrastructure,data/documerica_subset\546621.jpg
558116,"MONUMENT AND STATUE OF HERMANN-ARMINIUS, GERMAN PATRIOT WHICH WAS ERECTED IN NEW ULM, MINNESOTA, IN 1888. THE TOWN WAS BUILT BY A GERMAN IMMIGRANT LAND COMPANY IN 1854 AND NAMED FOR THE CITY OF ULM IN THE DANUBIAN DISTRICT OF WURTTEMBERG, GERMANY HERMANN-ARMINIUS WAS CHIEF OF THE CHERUSCI WHO UNITED THE GERMANIC TRIBES TO DEFEAT THE ROMAN GENERAL VARUS IN 19 AD AND HALT THE ROMAN EMPIRE AT THE RHINE RIVER. HE SURVIVES IN LEGENDS AS A CHAMPION OF GERMANIC NATIONALISM AND LIBERTY",Urban Landscape,data/documerica_subset\558116.jpg
557731,"CARPENTER AT WORK ON THE FIRST UNIT OF THE NEW ALPINE VILLAGE AT THE OUTSKIRTS OF HELEN. WHEN COMPLETED THE PROJECT WILL DOUBLE THE SIZE OF THE TOURIST FACILITIES OF THE SMALL MOUNTAIN COMMUNITY OF SOME 270 PEOPLE. THE CORPORATION THAT IS BUILDING THE FACILITIES IS CONTINUING THE BAVARIAN ALPINE THEME OF THE HELEN BUSINESS DISTRICT IT WAS RENOVATED, STARTING IN 1969 AFTER ENDORSEMENT FORM TOWN OFFICIALS, BUSINESSMEN AND RESIDENTS",Urban Landscape,data/documerica_subset\557731.jpg
556253,THE REV. JESSE JACKSON SPEAKS ON A RADIO BROADCAST FROM THE HEADQUARTERS OF OPERATION PUSH AT ITS ANNUAL CONVENTION. ONE OF THE AIMS OF THE ORGANIZATION IS TO OPEN THE WORLD OF BUSINESS TO SMALL BLACK OWNED BUSINESSES. REV. JACKSON IS CREDITED FOR HELPING TO MAKE CHICAGO THE BLACK BANKING CAPITAL OF THE COUNTRY. HE HELPED PERSUADE WHITE COMPANIES TO STOP TAKING PROFITS EARNED FROM BLACK CONSUMERS TO THE WHITE SUBURBS,People and Community,data/documerica_subset\556253.jpg
549817,"GARBAGE IS TOWED DOWN THE EAST RIVER TO STATEN ISLAND LANDFILL, MANHATTAN IN BACKGROUND",Urban Landscape,data/documerica_subset\549817.jpg
546632,"MECHANICS AT WORK AT ""CALL CARL,"" COMPUTERIZED CENTER",Industrial Site,data/documerica_subset\546632.jpg
