pair_id,comment_id,article_id,month,is_pick,comment_text,n_tokens,n_chars
5a73a8f210f40f00018bf146_25797832,25797832,5a73a8f210f40f00018bf146,Feb2018,yes,"Your idea sounds good on paper, written by a man addressing other men, but NO, late term abortions should be available and legal when appropriate. People who have late term abortions do not do it frivolously, it's a terribly personal and painful decision that a woman makes in the face of absolute desperation. My sister did this when her doctor advised her that her baby had a chromosomal abnormality, and it was the right decision for her. I, on the other hand, had a child with that same disability that she terminated, as a surprise at birth. The early prenatal testing was normal so I didn't have amniocentesis. My child is now 24, I love him with all my heart, but this is not the life just anyone could live. It is non stop care taking, it is complete sacrifice, it's my life and I accept it, but this outcome has to be considered when people decide to become parents. The Educational system in the U.S. is lacking and once your child becomes an adult, it's a nightmare, not to mention the incredible expense just for respite, medical, everyday care, and this doesn't have an end. Our children don't leave the nest, we are forever caretakers. It is an overwhelming burden financially, emotionally and physically. It is a personal and family decision that should remain safe and legal.",278,1291
5a73a8f210f40f00018bf146_25797832,25799123,5a73a8f210f40f00018bf146,Feb2018,no,"The fact is that motherhood requires a kind of self-sacrificing, self-denying love that is both sublimely beautiful and absolutely terrifying.

Does any woman ever not die in childbirth and in the raising of children? It took me having children to realize the answers -- Of course she does. And, yes, it hurts. But, we learn something about love -- the greatest love means laying down your own life for someone else. It is beautiful. If you are open to understanding, it also points to the Creator of our bodies who sent Jesus in the greatest act of love the world will ever see, to willingly lay down His life for not-innocent people, so that those who believe in Him can live forever.

It's not really a political issue after all, is it? You can make lots of laws to try to keep people from committing unthinkable acts. I hope that there will indeed be such laws to protect the unborn. But, I understand that the issue is in the heart. If sex was about selfishness and self-fulfillment to begin with, then what about when pregnancy intrudes on the self's plans? If we were able to love as we should -- in a self-sacrificing rather than self-seeking way, this would never be an issue at all, and all of our babies would be loved.",273,1230
5a79e20b10f40f00018bfc60_25858689,25858689,5a79e20b10f40f00018bfc60,Feb2018,yes,"Isn't there a blackball process for this type of situation? If you fail to pay a federal student loan you are not eligible for any other government aid programs including FNMA mortgages. If you commit certain crimes, (felonies) you are not able to get financial services jobs or to vote in many states. Why is this person and any company she owns or is involved with still allowed to bid on a federal contract?

While the most important thing now is to get Puerto Rico back on its feet, which the administration has ignored, we still need to look at the cause of the problem as we could be days behind the next disaster.

I suspect the answer will be the usual suspects: political hacks were installed by the ultimate presidential political hack and the professionals all left or were pushed out the door. This is why it is important to have regulation and a federal bureaucracy. Many things are best left to the government, and they do a good job when properly treated and financed.",196,983
5a79e20b10f40f00018bfc60_25858689,25856529,5a79e20b10f40f00018bfc60,Feb2018,no,"One thing stands out as a stark difference between recovery debacles in the aftermath of Katrina and Maria.

There was nationwide outcry and disgust on the failure of FEMA and Bush administration when Katrina ravaged New Orleans. It resulted in outpouring of public support that was highly visible on media.

When Maria destroyed Puerto Rico, after initial outpouring of support, the recovery efforts became a political football.

Trump tossed a few rolls of paper goods and reminded Puerto Rico that they are on their own due to their debt. His insensitivity has cast its ugly shadow on national psyche. Despite uncovering of the power contract scandal and reporting that over 1,000 deaths have been attributed to the hurricane, the public sympathy, outcry and support were no where near what the country displayed for victims of Katrina.

This is Trump's legacy.",166,864
5a91951a10f40f00018c2d51_26103257,26103257,5a91951a10f40f00018c2d51,Feb2018,yes,"I kind of get the technical point here, but it seems like dividing dust. Mobilization is an in-kind donation, isn't it? Get out the vote campaigns for specific candidates vs. direct donations to the candidates, not sure what the difference is financially. I do understand that the failure of the Democratic Party for some years is to adequately fund get out the vote campaigns across districts and states. NRA probably helps my current congressman in this way. The Democratic Party has not put money (direct or otherwise) behind a candidate in my district for years now.",111,570
5a91951a10f40f00018c2d51_26103257,26104304,5a91951a10f40f00018c2d51,Feb2018,no,"This title is a bit misleading by using the term mobilization, and implying that money doesn’t count. The article points out how the NRA uses money from donations to publicize their scorecards and run advertising for and against candidates, to influence voting. So it would seem the money still counts via marketing and advertising, to create perceived strength of the gun movement vs direct donations to candidates. The article provides little evidence of mobilizing in the form of rallies, door to door campaigns, etc. which come to mind as forms of mobilization.",108,565
588e0b1e95d0e0392607d69a_21295025,21295025,588e0b1e95d0e0392607d69a,Jan2017,yes,"Let's hear from a prominent family member of a victim of terror, recently profiled in the NY Times. From The Guardian:

""Steve Kerr has joined the chorus of voices in the NBA that have attacked Donald Trump’s ban on travellers and refugees from seven Muslim-majority countries.

On Sunday, the Golden State Warriors coach said the president’s executive order had personal resonance. “I would just say that as someone whose family member was a victim of terrorism, having lost my father, if we’re trying to combat terrorism by banishing people from coming to this country, by really going against the principles of what our country is about and creating fear, it’s the wrong way of going about it,” said Kerr whose father, Malcolm, was killed by two gunmen in 1984 while he was president of the American University of Beirut. Islamic Jihad, a precursor of Hezbollah, later claimed responsibility for the murder. “If anything, we could be breeding anger and terror. So I’m completely against what’s happening.”""",205,1009
588e0b1e95d0e0392607d69a_21295025,21287360,588e0b1e95d0e0392607d69a,Jan2017,no,"I am a Catholic American. I come from a long line of Irish and Italian Catholics. I am what is known as a cradle Catholic. We are talking well over a thousand years of Catholicism in my lineage.

And I am repulsed by everything this so-scalled president does, stands for, surrounds himself with and is willing to do.

Mr. Trump, you have offended my Mexican and Latin American brothers and sisters. You have hurt and insulted our Muslim allies who have laid their lives on the line for us. You have sexually assaulted many many women by your own admission yet never apologized to a single one of them. You have bilked hard working people through your well planned bankruptcies. And you have bilked hundreds if not thousands of folks who attended your sham faux-universities.

You are everything America is not and everything opposite of what I was taught to and do believe.

It is not not late though, Trump . There is still a little bit of time for you to become a good decent human being. I am not holding my breath though.",216,1025
5a69b54910f40f00018bda23_25698920,25698920,5a69b54910f40f00018bda23,Jan2018,yes,"There is a daily commenter in these pages who marshals his considerable intellect to justify the most tenacious, treasonous actions of Trump. Many commenters here seem to be baffled at how this is possible.

Steven Pinker provides an explanation that many here who believe in pure reason should take into account:

The answer lies in raw tribalism: when someone is perceived as a champion of one’s coalition, all is forgiven. The same is true for opinions: a particular issue can become a sacred value, shibboleth, or affirmation of allegiance to one’s team, and its content no longer matters. This is part of a growing realization in political psychology that tribalism has been underestimated in our understanding of politics, and ideological coherence and political and scientific literacy overestimated.

Once tribalism becomes embedded in the political system, Pinker wrote,

the full ingenuity of human cognition is recruited to valorize the champion and shore up the sacred beliefs. You can always dismiss criticism as being motivated by the bias of one’s enemies. Our cognitive and linguistic faculties are endlessly creative — that’s what makes our species so smart — and that creativity can be always deployed to reframe issues in congenial or invidious terms.",244,1270
5a69b54910f40f00018bda23_25698920,25702316,5a69b54910f40f00018bda23,Jan2018,no,"I swear, Truth is a slippery devil.

Why, in this wonderful piece, Mr. Edsall engages a posse to answer the burning question ""how did Trump get away with 2,140"" lies (let's call them what they were) in just his FIRST year, the Trumpocene?

The first explanation, which turns out to be a strawperson, is that Trump is the quintessential post-modern embodiment of the Lie. Mr. Edsall trots out a sterling stable of scholarly academics to make the case. And, a strong case it is. Or so it seems.

But, like a good who-done-it writer, Mr. Edsall delivers the shocking truth. Trump is not a postmodernist at all. Yeah, he's a pathological liar. That's beyond debate.

No, Trump is just a common, ordinary, garden variety Nihilist.

And, that's the Truth, the whole Truth, and nothing but the Objective Truth. Maybe.",203,810
58765dc195d0e0392607a24c_21069825,21069825,58765dc195d0e0392607a24c,Jan2017,yes,"I watched that whacky press conference, stunned that Trump was so prickly as to re litigate the campaign. As for his charges of fake news, talk about hypocrisy: two years of birther false news and all the other whacko conspiracy advocates like General Flynn.

But this article is about ethics. And everything I've heard so far indicates that Trump is far from clean and clear on his treatment of his businesses. That he will be subject to lawsuits on day one.

In particular the use of a lawyer hired to give her firm's definition of revenues accrued from his hotels that he will ""donate"" to the treasury struck me as extremely self serving and self-aggrandizing.

My overall impression of Trump's ""performance"" in justifying his ethics proposals was slippery. He talks and talks but it's pretty slim pickings. Sort of a cartoon version of handling conflicts of interest.

Of course he'll see how is brand is doing on TV. Of course he's going to talk to his kids. My biggest concern as a US citizen is, is Donald Trump taking us all for fools?",221,1043
58765dc195d0e0392607a24c_21069825,21071698,58765dc195d0e0392607a24c,Jan2017,no,"Does anyone really think Trump is going to subsist on the U.S. Presidential salary? He complained bitterly some years ago when his creditors forced him to live on ""just"" $450,000 a month. It simply wasn't enough, he whined. As a president, that monthly pittance will be his annual salary. As a result, he's likely going to build monthly cushions from Trump businesses. And that's going to crush the concept he outlined in his news conference that he'll remain apart -- to avoid conflicts of interest -- from his tangle of companies. I mean, it's his own sons who will be in charge, after all. He runs his family like his businesses, meaning they'll have to pump out enough cash to keep the gilded leader happy. Consequently, covertly, he will want to direct their operations and output. So much for separating himself from his companies, which do a lot of business with foreign companies that are linked to criminal suspects and foreign governments. Good luck to the White House ethics office, which will have to balance their desire to appease him with his desire to live richly and keep his projects healthy enough for him to return to.",243,1138
58737b5f95d0e03926079ae6_21041754,21041754,58737b5f95d0e03926079ae6,Jan2017,yes,"Where will the replacement 2000 megawats of energy that powers 25% of the electricity needs of New York City and Westchester come from, Mr. Cuomo? You are delusional if you think that wind and solar can come anywhere close to filling the gap. Instead power will be imported from traditional energy producers in other states, and it will cost users a hell of a lot more than they are paying now. Cuomo is simply padding his left wing liberal resume for the Democrat nomination in 2020, as he did with his ridiculous call for state funding of college tuition for children of families making less than $125,000 a year. Meanwhile the mass exodus of taxpayers who cannot afford the cost of living and taxes in new York continues unabated. Tax and spend, spend and tax. It never changes in New York.",178,793
58737b5f95d0e03926079ae6_21041754,21038581,58737b5f95d0e03926079ae6,Jan2017,no,"I currently live in Boston where we pay electric rates that are nearly the same as NYC and for the same reason - Boston rate payers have been subsidizing the cost of the Pilgrim State nuclear power station for decades, much like rate payer on Long Island have had to deal with the failed Shoreham nuclear power station.

Yet we live in a time where generating electricity has never been cheaper, thanks to the abundance and low cost of natural gas and the efficiency of gas turbines (no boilers!) - in MA we have resisted a natural gas pipeline necessary to reduce the cost of natural gas and allowed the utility to raise rates last winter as a result. NY will need to get on board the natural gas train if it wants cheaper, safe, reliable, and fairly clean electricity.",154,770
58765dc195d0e0392607a24c_21070174,21070174,58765dc195d0e0392607a24c,Jan2017,yes,"The Donald Trump about to become our president is not different from the Donald Trump who ran for the presidency or the Donald Trump who ran his real estate empire. He has a long and well-documented history of deceit and failure. When he was running for the nomination, people said he would mature and become presidential if he got the nomination, which of course he did not. When he won the election, his handlers insisted he would become presidential as the transition began, which he did not. Now he has reneged on his campaign promise to divest himself of his business interests. This latest move is pure Trump; do what's best for Donald and attack any critics. This is what his presidency will be: an opaque mixture of self-interest and governance, with the tweeter-in-chief instantly castigating anybody who questions any of his unethical or illegal actions.",172,864
58765dc195d0e0392607a24c_21070174,21070091,58765dc195d0e0392607a24c,Jan2017,no,"""President"" T=Rex continued:
I have blind faith in my sons.
I fully trust my sons,
Hence my business arrangement is a ""blind trust"".
But as ""President"" I can never have a conflict of interest.
And as you know, I promised to run the entire Executive Branch as a business.
The minority of voters knew this when they voted for me.
So I will never ever ever discuss Trump golf courses or buildings or development projects with my sons. Ever.
I will just have Amarosa read the Wall Street Journal.
She will tell me what's going on with those two scamps.
And if I ever give up the oval office, I will return to my empire
and fire their butts if they fail to keep it magnificent.
Incitatus Kushner is doing the same, blindly trusting his mommy and brother to run his HUGE real estate business.
He will never ever know the outcome of negotiations with Angbang Bang Bang Bank on his buildings.",195,884
5a6a7c9a10f40f00018bdca2_25711143,25711143,5a6a7c9a10f40f00018bdca2,Jan2018,yes,"I’m Mexican (therefore non white), leftist (the Mexican left would be considered a terrorist endeavor in the US), anti trump (of course), graduated from college 10 years ago and I find Peterson’s lectures and ideas refreshing and very very useful. He happens to lean to the right, sure, but that doesn’t make him wrong.",70,319
5a6a7c9a10f40f00018bdca2_25711143,25707028,5a6a7c9a10f40f00018bdca2,Jan2018,no,"""Jordan Peterson is the most influential public intellectual in the Western world right now....his videos have attracted something like 40 million views"". I'm assuming that those views were over a period of time, whereas Trump has 42 million followers on his Twitter account. I think I see where the problem lies. And that's why the ""problem"" gets to lie so much.",77,363
5a7489f010f40f00018bf34a_25811700,25811700,5a7489f010f40f00018bf34a,Feb2018,yes,"Who indeed? Unemployment is at a statistical low point, yet we have a large cadre of hardcore unemployed largely in areas where the industrial and/or extraction industries have shut down operations. Are these former factory and mine workers going to move to take minimum wage jobs either in nursing homes or through private agencies? Not likely, and based on other statistical data it is likely that unemployed Americans in these area would have a difficult time passing a basic drug screening.

At the core of the problem is a belief that somehow all immigrants are taking jobs from equally qualified and motivated Americans – the Americans are the victims. Unfortunately, as incident after incident has shown, there are not a lot of native born Americans willing to do the jobs now predominately held by undocumented peoples living in America. Even those jobs that pay around $20/hour in meat packing and similar conditions go begging as native born Americans don’t want that kind of work.

Caring for seniors is hard thankless work – just ask anyone who cared, or is caring for an elder relative. Planting and harvesting crops is also avoided by most Americans. Maids, dishwashers, janitors, and all those other unseen/unnoticed jobs are usually held by undocumented people, not native born Americans. But we red-blooded (and white skinned) Americans complain about immigrants while avoiding all the “menial” jobs because we know we are entitled to much better work.",284,1469
5a7489f010f40f00018bf34a_25811700,25807451,5a7489f010f40f00018bf34a,Feb2018,no,"After reading many articles today in nyt online, this is the most important article of all. It addresses so many areas of importance and need -- how we care for aging population which is increasing rapidly and how we think about and treat our caregivers whoever they are and from whichever country they came.

Caregivers can be so wonderful and they are so needed and they are not paid sufficient wages. We should be supporting caregivers, giving them training and education and have oversight over agencies that place them so the people they help receive the best care. This is not only the elderly, included the disabled who need additional help.

trump and his cronies and our congressmen generally have enough money to pay for ""help"" their families need. The rest of us don't have the money of the 1% and certainly the elderly and disabled see their money fly away to cover the care they need.

Our country's priorities are convoluted, backward and despicable.
The GOP just gave more money to the already rich and hurt the rest of us - young, poor, disabled, elderly, immigrant or not.

RESIST ! VOTE in 2018 !",233,1114
5870f3c195d0e039260797a9_21025033,21025033,5870f3c195d0e039260797a9,Jan2017,yes,"If Trump and his family were not real billionaires before the election, they plan on being real billionaires in four years. Concealing that agenda will be a central focus of Trump's presidency. Please continue to expose that subterfuge at every opportunity. As President Lincoln stated long ago, ""[let the people know the whole truth, and our country will be safe.""",73,365
5870f3c195d0e039260797a9_21025033,21045860,5870f3c195d0e039260797a9,Jan2017,no,"What is happening to this country is a concert of conspiracy between a large number of treasonous Republicans, certain Uber wealthy (example Koch/Thiel), Donald Trump and Vladimir Putin. While I believe that a lot of the Sanders and Trump followers were righteous in their disdain for our government's problems, they have been duped into following a narcissistic tyrant supported by an oligarchy to put into place a fascist, dictatorial government.",87,448
58815fbc95d0e0392607bc0c_21154857,21154857,58815fbc95d0e0392607bc0c,Jan2017,yes,Trump has no capacity to see anything through anyone else's perspective. I have no use for such people in any management capacity.,25,130
58815fbc95d0e0392607bc0c_21154857,21156958,58815fbc95d0e0392607bc0c,Jan2017,no,"Nah, not with Trump. At 70 years of age he is unlikely to change. We will get the same hot air.",28,95
587575d295d0e0392607a033_21067928,21067928,587575d295d0e0392607a033,Jan2017,yes,"It wouldn't surprise me if this stuff was true, but they're going to have to come up with better evidence than this before I'll buy into it, and I voted for Clinton.",38,165
587575d295d0e0392607a033_21067928,21061392,587575d295d0e0392607a033,Jan2017,no,The NYT has now made one step closer to the journalistic standards of the National Enquirer; the main thing now separating them being that the Enquirer wouldn't have bothered to say what it was reporting was unsubstantiated.,44,224
587575d295d0e0392607a033_21066619,21066619,587575d295d0e0392607a033,Jan2017,yes,"The press and our political parties have let us down. The RNC had this information. The Times reports that it was widely circulated among reporters in the Fall. Rumors about Hillary were printed, but these were hushed up.

The party had to know this, and worse, would come out. The President-elect had to know that as well. But it didn't matter as long as they won. Clearly they cared more about winning the election than about the country. Meanwhile, the press was trying so hard to be unbiased that it failed to report the actual news or try to pursue stories to corroborate these things, all of the deal-breaking articles coming out now are too little too late. Mike Pence holds positions that guarantee that he would have lost the election had he been the nominee, but it certainly looks like he'll end up being our President regardless, and with a full Republican Congress and a free seat for the Supreme Court thrown in at no extra charge.",193,945
587575d295d0e0392607a033_21066619,21064768,587575d295d0e0392607a033,Jan2017,no,"Another ticking time bomb. How much of it is true? A fair amount probably. It's also hard to believe they don't have his tax details. The Russian security services have dossiers on minor employees in all American embassies so they certainly have them on presidential candidates. Anyone visiting Russia on business in the good old days of the Soviet Union was advised to avoid indiscretions. Is Trump the sort of individual likely to commit indiscretions? That is up to the American people to decide. But this is no laughing matter. The appointment of Flynn is also deeply concerning given his links with the Russians.

Comey is severely compromised. How he can say he can't comment on investigations when two weeks before the election he announced an investigation of Clinton is hard to understand.",157,798
586a0d8795d0e039260789b3_20964697,20964697,586a0d8795d0e039260789b3,Jan2017,yes,"I agree with Paul Krugman that the George W. Bush administration was horribly corrupt, especially in the conduct of the Iraq War. The incoming Trump administration led by a narcissistic huckster who has surrounded himself with wealthy ideologues with no government experience will probably be worse. But the Obama administration is to blame for its failure to make clear distinctions by cracking down on corruption. War crimes? No one was prosecuted. War profiteering? No one went to jail. Some thought trials would be too divisive.

With the Republican leadership vowing to make Obama a one-term president and the Tea Party base holding pictures of Obama with Hitler’s mustache, the White House should have quickly realized it was at war and fought its hardest. Instead, the apparent rule was no banker, businessman, or politician is legally accountable. Banks paid billions in fines for their behavior in the subprime mortgage crisis which caused the Great Recession. But bankers who made the decisions were not indicted. Banks were bailed out; homeowners weren’t.

FDR went after the corruption which preceded him. Just quietly being less corrupt is not enough. Vigorously prosecuting corruption is the best way to show you are different and mean business.",243,1259
586a0d8795d0e039260789b3_20964697,20965328,586a0d8795d0e039260789b3,Jan2017,no,"American corporations avoid their social responsibility. Don't be bored by that statement.

When I lived in Chicago in 1979 I often read about gang violence in Chicago, shooting at one another from across the street or avenue, lie in the Wild West. Now, we read 2017 headlines like: ""Chicago Ends Year With 762 Killings, the Most in 2 Decades"" --- Nothing has changed in America in 37 years. It's getting worse and Trump will make it worse for those who are not wealthy.
We have a governing cancer headed for the White House on Jan 20, 2017, and no one in the press is questioning why we still have cancers like this in the inner city. Some blame the Tyranny of Capitalism for this. Some blame ""liberal"" Americans for aspiring to Democratic Socialism. Corporations should not run our country. Trump will not solve Chicago's problems, they are going to get worse. The evidence has been clear for 37 years.",214,904
588fa3aa95d0e0392607d9fe_21347132,21347132,588fa3aa95d0e0392607d9fe,Jan2017,yes,"Interesting project and video.
""Overcoming our most cautious impulses with bravery unites all humankind. ""
There seems to be a fundamental misunderstanding of human nature here.
Another phrase for ""cautious impulses"" is ""survival instinct"", and our exceptional ability to judge risk/reward has played a large role in our success as a species.

At times a suitable substitute for ""bravery"" is ""foolhardiness"", or in extreme cases, ""stupidity"".

In the sub-title to this article it said, ""Would you jump or chicken out?""

Phrasing it that way reveals a judgmental view that distorts reality. There is absolutely NOTHING wrong with getting up to the top of that board and thinking, ""This doesn't make sense. I don't know what I'm doing. I've never jumped from a height like this. I don't know to what extent I'm risking my life. I'm not prepared potentially to die just to not lose face.""

The glorification of excessive risk-taking has resulted in many tragic and useless deaths.

For the most part, the risks facing these divers are fairly small. But they don't know that and they are exhibiting a very healthy human response to a difficult-to-calculate risk when they hesitate.

Let's not glorify foolhardiness and stupidity by using phrases like ""chicken out"" or ""bravery"" in an inappropriate context.",284,1302
588fa3aa95d0e0392607d9fe_21347132,21320178,588fa3aa95d0e0392607d9fe,Jan2017,no,"Previously I had dove from 1 and 3 meter boards. I was not a trained diver. I had a rare occasion, to ""do"" for the first time, a 10 meter platform. I did 3 or 4 dives..all headers. The next day I felt as if I had been to the first day of high school football practice. Minor sprains of both wrist. Sore shoulders, and surprisingly, to me, the top of my head was sore.

As some of the other commenters remarked about military 10 meter requirements, while qualifying for my various maritime licenses, one of requirements for STCW certification was to jump into pool to simulate jumping from a ship. Depending on the school it could vary from jumping from the deck of a pool with a PFD on, In my instance the instructor insisted the members of the class jump, wearing a Gumby suit, from a 10 meter platform. For me the Gumby suit, large and ill fitting, made me feel as if I would trip. At the edge of the platform, with trepidation, I would hesitate for a long time to make sure a made a clean, feet first departure without a hint of not being absolutely vertical. I would have a deep seated fear of doing a belly flop.",263,1117
5a824a4610f40f00018c09aa_25942252,25942252,5a824a4610f40f00018c09aa,Feb2018,yes,"“scarcity mind-set”

The world is much simpler than that. We live on a spectrum between selfishness and altruism. On the extreme right is the sociopath, and on the extreme left is some form of Utopian communism. Trump has energized a large segment who are on the far right of the spectrum. The Democrats have not unified their beliefs regarding where they should be positioned on the left of the spectrum. Hopefully, most Americans reside somewhere close to the middle and democracy will prevail.",102,496
5a824a4610f40f00018c09aa_25942252,25946122,5a824a4610f40f00018c09aa,Feb2018,no,"Mr. Brooks omits how Conservative policies create the conditions of scarcity, from which they clearly benefit. Their rich-favoring tax cuts, dynasty-favoring inheritance laws, weakening of retirement systems and employment protections, all the things they've done which have caused an inexorable shift of our nations wealth to the very richest. That they successfully exploit those conditions for even more power in an evil, self-perpetuating cycle is simply too depressing.",89,474
5a79e20b10f40f00018bfc60_25855873,25855873,5a79e20b10f40f00018bfc60,Feb2018,yes,"Hold off for a moment on calling me Mr Obvious.

Why does FEMA constantly try to reinvent the wheel? There is an existing method of providing nutritionally sound meals that self heat. The US military uses Meals Ready to Eat (MRE) for when our troops are away from mess facilities. The meals vary greatly with even vegetarian offerings. Each meal is sealed in a pouch that has a chemically activated pouch for heating. Each pouch contains other items needed in survival situations such as toilet paper & plastic utensils. Each pouch contains enough calories & protein to sustain a soldier for one day in a war zone with bullets whizzing overhead. There is the added benefit that the military is typically tapped to distribute supplies & meals during disasters. This provides a person who can teach how the MRE heatpacks work. They can also explain that spreading the food in the pouch over the entire day is how the MRE is designed.

These meals are packaged in cardboard cases designed for low altitude airdrops. The cases come on pallets designed for rapid higher altitude parachute drops. Does this not sound like exactly what is needed after a disaster? The military has stockpiles of these meals. They have to keep stockpiles. The shelf life on an MRE is measured in years, not months. An MRE lot is tested at its expiration date & recertified for several more years. The existing supply chain & manufacturing process can keep up with almost any demand. There is no need to issue new contracts.",305,1498
